id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_195,03,EA0076,Abbotsford,Canadá,YXX,,2021-06-01
waybill_complemento_estacion_196,03,EA0077,Calgary,Canadá,YYC,,2021-06-01
waybill_complemento_estacion_197,03,EA0078,Victoria,Canadá,YYJ,,2021-06-01
waybill_complemento_estacion_198,03,EA0079,Canadian Forces Base Goose Bay,Canadá,YYR,,2021-06-01
waybill_complemento_estacion_199,03,EA0080,St. John's,Canadá,YYT,,2021-06-01
waybill_complemento_estacion_200,03,EA0081,Lester B. Pearson,Canadá,YYZ,,2021-06-01
waybill_complemento_estacion_201,03,EA0082,Andres Sabella,Chile,ANF,,2021-06-01
waybill_complemento_estacion_202,03,EA0083,Carriel Sur,Chile,CCP,,2021-06-01
waybill_complemento_estacion_203,03,EA0084,Diego Aracena,Chile,IQQ,,2021-06-01
waybill_complemento_estacion_204,03,EA0085,Arturo Merino Benítez,Chile,SCL,,2021-06-01
waybill_complemento_estacion_205,03,EA0086,Baiyun,China,CAN,,2021-06-01
waybill_complemento_estacion_206,03,EA0087,Changle,China,FOC,,2021-06-01
waybill_complemento_estacion_207,03,EA0088,Xiaoshan,China,HGH,,2021-06-01
waybill_complemento_estacion_208,03,EA0089,Lishe,China,NGB,,2021-06-01
waybill_complemento_estacion_209,03,EA0090,Nanjing Lukou,China,NKG,,2021-06-01
waybill_complemento_estacion_210,03,EA0091,Capital,China,PEK,,2021-06-01
waybill_complemento_estacion_211,03,EA0092,Pudong,China,PVG,,2021-06-01
waybill_complemento_estacion_212,03,EA0093,Gaoqi,China,XMN,,2021-06-01
waybill_complemento_estacion_213,03,EA0094,Gustavo Rojas Pinilla,Colombia,ADZ,,2021-06-01
waybill_complemento_estacion_214,03,EA0095,Ernesto Cortissoz,Colombia,BAQ,,2021-06-01
waybill_complemento_estacion_215,03,EA0096,El Nuevo Dorado,Colombia,BOG,,2021-06-01
waybill_complemento_estacion_216,03,EA0097,Alfonso Bonilla Aragón,Colombia,CLO,,2021-06-01
waybill_complemento_estacion_217,03,EA0098,Rafael Nuñez,Colombia,CTG,,2021-06-01
waybill_complemento_estacion_218,03,EA0099,Jose Maria Córdova,Colombia,MDE,,2021-06-01
waybill_complemento_estacion_219,03,EA0100,Montelibano,Colombia,MTB,,2021-06-01
waybill_complemento_estacion_220,03,EA0101,Daniel Oduber Quiros,Costa Rica,LIR,,2021-06-01
waybill_complemento_estacion_221,03,EA0102,Juan Santamaría,Costa Rica,SJO,,2021-06-01
waybill_complemento_estacion_222,03,EA0103,Jardines Del Rey,Cuba,CCC,,2021-06-01
waybill_complemento_estacion_223,03,EA0104,Ignacio Agramonte,Cuba,CMW,,2021-06-01
waybill_complemento_estacion_224,03,EA0105,Vilo Acuña,Cuba,CYO,,2021-06-01
waybill_complemento_estacion_225,03,EA0106,Jose Martí,Cuba,HAV,,2021-06-01
waybill_complemento_estacion_226,03,EA0107,Frank País,Cuba,HOG,,2021-06-01
waybill_complemento_estacion_227,03,EA0108,Antonio Maceo,Cuba,SCU,,2021-06-01
waybill_complemento_estacion_228,03,EA0109,Abel Santamaría,Cuba,SNU,,2021-06-01
waybill_complemento_estacion_229,03,EA0110,Juan Gualberto Gomez,Cuba,VRA,,2021-06-01
waybill_complemento_estacion_230,03,EA0111,Aalborg,Dinamarca,AAL,,2021-06-01
waybill_complemento_estacion_231,03,EA0112,Billund,Dinamarca,BLL,,2021-06-01
waybill_complemento_estacion_232,03,EA0113,København,Dinamarca,CPH,,2021-06-01
waybill_complemento_estacion_233,03,EA0114,Mariscal Lamar,Ecuador,CUE,,2021-06-01
waybill_complemento_estacion_234,03,EA0115,Jose Joaquín De Olmdeo,Ecuador,GYE,,2021-06-01
waybill_complemento_estacion_235,03,EA0116,Eloy Alfaro,Ecuador,MEC,,2021-06-01
waybill_complemento_estacion_236,03,EA0117,General Ulpiano Páez,Ecuador,SNC,,2021-06-01
waybill_complemento_estacion_237,03,EA0118,Mitad Del Mundo,Ecuador,UIO,,2021-06-01
waybill_complemento_estacion_238,03,EA0119,Monseñor Oscar Arnulfo Romero,El Salvador,SAL,,2021-06-01
